id,msn,aircraft_type,reg,operator,delivered,status,remark
1,5000,Airbus A350-900,-,Airbus Industrie,2012-11-27,Partially Scrapped,
2,1,Airbus A350-941,F-WXWB,Airbus Industrie,2013-06-14,Active,
3,2,Airbus A350-941,F-WWCF,Airbus Industrie,2014-02-26,Active,
4,3,Airbus A350-941,F-WZGG,Airbus Industrie,2013-10-14,Preserved,
5,4,Airbus A350-941,F-WZNW,Airbus Industrie,2014-02-26,Preserved,
6,5,Airbus A350-941,F-HREU,French bee,2018-01-30,Active,
7,6,Airbus A350-941,A7-ALA,Qatar Airways,2014-12-18,Active,"سودانثيل, lsd"
8,7,Airbus A350-941,A7-ALB,Qatar Airways,2015-03-04,Active,"الفديريات, lsd"
9,8,Airbus A350-941,A7-ALE,Qatar Airways,2015-10-29,Active,lsd
10,9,Airbus A350-941,A7-ALC,Qatar Airways,2015-05-07,Active,lsd
11,10,Airbus A350-941,A7-ALD,Qatar Airways,2015-06-11,Active,lsd
12,11,Airbus A350-941,A7-ALF,Qatar Airways,2015-10-30,Active,lsd
13,12,Airbus A350-941,A7-ALH,Qatar Airways,2016-03-07,Active,lsd
14,13,Airbus A350-941,A7-ALG,Qatar Airways,2015-11-20,Active,lsd
15,14,Airbus A350-941,VN-A886,Vietnam Airlines,2015-06-29,Parked,lsd
16,15,Airbus A350-941,VN-A887,Vietnam Airlines,2015-09-18,Active,lsd
17,16,Airbus A350-941,VN-A888,Vietnam Airlines,2015-10-19,Active,lsd
18,17,Airbus A350-941,VN-A889,Vietnam Airlines,2015-12-01,Active,lsd
19,18,Airbus A350-941,OH-LWA,Finnair,2015-10-06,Active,lsd
20,19,Airbus A350-941,OH-LWB,Finnair,2015-12-14,Active,"lsd, oneworld  cs"
21,20,Airbus A350-941,OH-LWC,Finnair,2015-12-31,Active,
22,21,Airbus A350-941,A7-ALI,Qatar Airways,2016-07-01,Active,lsd
23,22,Airbus A350-941,OH-LWD,Finnair,2016-03-25,Active,
24,23,Airbus A350-941,OH-LWE,Finnair,2016-04-29,Active,
25,24,Airbus A350-941,N568DZ,Delta Air Lines,2022-07-19,Active,"3568, lsd"
26,25,Airbus A350-941,A7-ALJ,Qatar Airways,2016-08-01,Active,lsd
27,26,Airbus A350-941,9V-SMA,Singapore Airlines,2016-02-26,Active,
28,27,Airbus A350-941,N569DZ,Delta Air Lines,2022-09-15,Active,"3569, lsd"
29,28,Airbus A350-941,OH-LWF,Finnair,2016-06-24,Active,lsd
30,29,Airbus A350-941,B-LRA,Cathay Pacific,2016-05-27,Active,lsd
31,30,Airbus A350-941,9V-SMB,Singapore Airlines,2016-04-19,Active,
32,31,Airbus A350-941,9V-SMC,Singapore Airlines,2016-05-27,Active,
33,32,Airbus A350-941,B-LRB,Cathay Pacific,2016-08-24,Active,
34,33,Airbus A350-941,A7-ALK,Qatar Airways,2016-09-22,Active,lsd
35,34,Airbus A350-941,B-LRC,Cathay Pacific,2016-07-15,Active,lsd
36,35,Airbus A350-941,OE-LHD,Lufthansa Group,2023-11-16,Parked,
37,36,Airbus A350-941,A7-ALL,Qatar Airways,2016-11-01,Active,lsd
38,37,Airbus A350-941,9V-SMD,Singapore Airlines,2016-06-30,Active,
39,38,Airbus A350-941,B-LRD,Cathay Pacific,2016-09-23,Parked,
40,39,Airbus A350-941,B-LRE,Cathay Pacific,2016-08-11,Active,
41,40,Airbus A350-941,ET-ATQ,Ethiopian Airlines,2016-06-28,Active,lsd
42,41,Airbus A350-941,9V-SME,Singapore Airlines,2016-07-27,Active,
43,42,Airbus A350-941,A7-ALM,Qatar Airways,2016-12-20,Active,lsd
44,43,Airbus A350-941,ET-ATR,Ethiopian Airlines,2016-08-15,Active,lsd
45,44,Airbus A350-941,HS-THB,Thai Airways,2016-08-29,Parked,"Wichian Buri / วิเชียรบุรี , lsd"
46,45,Airbus A350-941,OE-LHE,Lufthansa Group,2023-09-27,Parked,
47,46,Airbus A350-941,B-LRF,Cathay Pacific,2016-10-20,Active,
48,47,Airbus A350-941,A7-ALN,Qatar Airways,2017-02-27,Active,lsd
49,48,Airbus A350-941,N570DZ,Delta Air Lines,2021-09-20,Active,"3570, lsd"
50,49,Airbus A350-941,B-18901,China Airlines,2016-09-30,Active,
51,50,Airbus A350-941,HS-THC,Thai Airways,2016-10-11,Active,"Si Nakhon / ศรีนคร , lsd"
52,51,Airbus A350-941,OH-LWG,Finnair,2016-09-29,Parked,lsd
53,52,Airbus A350-941,B-304U,Sichuan Airlines,2018-10-26,Active,"lsd, Chengdu FISU World University Games (成都大运会)  cs"
54,53,Airbus A350-941,B-LRG,Cathay Pacific,2016-12-02,Active,
55,54,Airbus A350-941,9V-SMF,Singapore Airlines,2016-10-14,Active,"10,000th Airbus Aircraft cs"
56,55,Airbus A350-941,B-304V,Sichuan Airlines,2018-11-20,Active,"lsd, Chengdu FISU World University Games (成都大运会)  cs"
57,56,Airbus A350-941,VN-A890,Vietnam Airlines,2016-10-29,Active,lsd
58,57,Airbus A350-941,B-18902,China Airlines,2016-11-21,Parked,
59,58,Airbus A350-941,B-LRI,Cathay Pacific,2016-11-18,Active,
60,59,Airbus A350-1041,F-WMIL,Airbus Industrie,2016-11-24,Active,
61,60,Airbus A350-941,B-301D,Sichuan Airlines,2018-08-08,Active,"lsd, Panda Route (熊猫之路) cs"
62,61,Airbus A350-941,B-LRJ,Cathay Pacific,2016-12-09,Active,
63,62,Airbus A350-941,9V-SMG,Singapore Airlines,2016-12-07,Active,
64,63,Airbus A350-941,A7-ALO,Qatar Airways,2017-10-25,Active,lsd
65,64,Airbus A350-941,N571DZ,Delta Air Lines,2021-07-09,Parked,"3571, lsd"
66,65,Airbus A350-1041,F-HMIL,Air Caraïbes Atlantique,2019-12-02,Active,
67,66,Airbus A350-941,B-18903,China Airlines,2016-12-22,Active,
68,67,Airbus A350-941,VN-A891,Vietnam Airlines,2016-12-28,Active,lsd
69,68,Airbus A350-941,9V-SMH,Singapore Airlines,2016-12-09,Active,
70,69,Airbus A350-941,A7-ALP,Qatar Airways,2017-05-23,Active,lsd
71,70,Airbus A350-941,B-LRK,Cathay Pacific,2017-02-01,Active,
72,71,Airbus A350-1041,G-VDOT,Virgin Atlantic,2020-09-04,Active,Ruby Slipper
73,72,Airbus A350-941,B-LRL,Cathay Pacific,2017-03-13,Active,
74,73,Airbus A350-941,B-18905,China Airlines,2016-12-30,Active,
75,74,Airbus A350-941,D-AIXA,Lufthansa,2016-12-19,Active,Nürnberg
76,75,Airbus A350-941,B-LRM,Cathay Pacific,2016-12-30,Active,
77,76,Airbus A350-941,A7-ALQ,Qatar Airways,2017-10-10,Active,lsd
78,77,Airbus A350-941,9V-SMI,Singapore Airlines,2016-12-21,Active,
79,78,Airbus A350-941,A7-ALR,Qatar Airways,2017-12-18,Active,lsd
80,79,Airbus A350-941,OE-LHF,Lufthansa Group,2024-01-24,Parked,
81,80,Airbus A350-941,D-AIXB,Lufthansa,2017-02-22,Active,Stuttgart
82,81,Airbus A350-941,9V-SMJ,Singapore Airlines,2016-12-30,Active,
83,82,Airbus A350-941,F-HHAV,Air Caraïbes Atlantique,2017-02-27,Active,lsd
84,83,Airbus A350-941,A7-ALS,Qatar Airways,2017-10-10,Active,lsd
85,84,Airbus A350-941,9V-SMK,Singapore Airlines,2017-02-24,Active,
86,85,Airbus A350-941,B-LRN,Cathay Pacific,2017-03-30,Active,
87,86,Airbus A350-941,VN-A892,Vietnam Airlines,2017-03-15,Active,lsd
88,87,Airbus A350-941,D-AIXC,Lufthansa,2017-03-30,Active,"Saarbrücken, lsd"
89,88,Airbus A350-1041,A7-ANA,Qatar Airways,2018-02-16,Active,lsd
90,89,Airbus A350-941,ET-ATY,Ethiopian Airlines,2017-01-31,Active,
91,90,Airbus A350-941,A7-ALT,Qatar Airways,2017-11-24,Active,lsd
92,91,Airbus A350-941,F-HNET,Air Caraïbes Atlantique,2017-03-27,Active,lsd
93,92,Airbus A350-941,B-18906,China Airlines,2017-03-20,Active,
94,93,Airbus A350-941,B-LRO,Cathay Pacific,2017-05-11,Active,
95,94,Airbus A350-941,HL8078,Asiana Airlines,2017-04-24,Active,lsd
96,95,Airbus A350-941,HS-THD,Thai Airways,2017-04-21,Active,Uthumphon Phisai / อุทุมพรพิสัย
97,96,Airbus A350-941,9V-SML,Singapore Airlines,2017-03-31,Active,
98,97,Airbus A350-941,OH-LWH,Finnair,2017-04-03,Active,lsd
99,98,Airbus A350-941,EC-OAV,Iberia,2023-08-31,Active,lsd
100,99,Airbus A350-941,9V-SMM,Singapore Airlines,2017-05-05,Active,
101,100,Airbus A350-941,A7-ALU,Qatar Airways,2018-04-24,Active,lsd
102,101,Airbus A350-941,B-LRP,Cathay Pacific,2017-06-01,Active,
103,102,Airbus A350-1041,A7-ANB,Qatar Airways,2018-06-30,Active,lsd
104,103,Airbus A350-941,ET-AUA,Ethiopian Airlines,2017-04-28,Active,lsd
105,104,Airbus A350-941,OH-LWI,Finnair,2017-06-02,Active,
106,105,Airbus A350-941,B-18907,China Airlines,2017-05-24,Active,
107,106,Airbus A350-941,A7-ALV,Qatar Airways,2018-05-29,Active,lsd
108,107,Airbus A350-941,9V-SMN,Singapore Airlines,2017-05-19,Active,
109,108,Airbus A350-941,N,American Airlines,,Not Built,NTU
110,109,Airbus A350-941,B-LRQ,Cathay Pacific,2017-06-14,Active,
111,110,Airbus A350-1041,A7-ANC,Qatar Airways,2018-09-10,Active,lsd
112,111,Airbus A350-941,HS-THE,Thai Airways,2017-06-16,Active,Chai Badan / ชัยบาดาล
113,112,Airbus A350-941,EC-OAX,Iberia,2023-07-13,Active,lsd
114,113,Airbus A350-941,OH-LWK,Finnair,2017-06-30,Active,lsd
115,114,Airbus A350-941,A7-ALW,Qatar Airways,2018-06-20,Active,lsd
116,115,Airbus A350-941,N501DN,Delta Air Lines,2017-07-12,Active,3501
117,116,Airbus A350-941,9V-SMO,Singapore Airlines,2017-06-16,Active,
118,117,Airbus A350-941,HL8079,Asiana Airlines,2017-07-19,Active,lsd
119,118,Airbus A350-1041,B-LXA,Cathay Pacific,2018-06-15,Active,
120,119,Airbus A350-941,B-LRR,Cathay Pacific,2017-07-05,Active,
121,120,Airbus A350-941,ET-AUB,Ethiopian Airlines,2017-06-26,Active,lsd
122,121,Airbus A350-941,B-18908,China Airlines,2017-07-25,Active,
123,122,Airbus A350-941,9V-SMP,Singapore Airlines,2017-07-21,Active,
124,123,Airbus A350-941,HS-THF,Thai Airways,2017-07-13,Active,"Yan Nawa / ยานนาวา , lsd"
125,124,Airbus A350-941,HS-THY,Thai Airways,2024-03-27,Active,"Sa Kaew / สระแก้ว , lsd"
126,125,Airbus A350-1041,A7-AND,Qatar Airways,2018-09-28,Active,lsd
127,126,Airbus A350-941,A7-ALX,Qatar Airways,2018-07-13,Active,lsd
128,127,Airbus A350-941,D-AIXD,Lufthansa,2017-08-14,Active,Bonn
129,128,Airbus A350-941,B-LRS,Cathay Pacific,2017-08-28,Active,
130,129,Airbus A350-941,VN-A893,Vietnam Airlines,2017-08-18,Active,lsd
131,130,Airbus A350-941,HS-THG,Thai Airways,2017-08-31,Active,"Phu Pha Man / ภูผาม่าน , lsd"
132,131,Airbus A350-941,N,American Airlines,,Not Built,NTU
133,132,Airbus A350-941,A7-ALY,Qatar Airways,2017-12-29,Active,lsd
134,133,Airbus A350-941,9V-SMQ,Singapore Airlines,2017-09-08,Active,
135,134,Airbus A350-941,OH-LWL,Finnair,2017-09-22,Active,"lsd, Marimekko Kivet cs"
136,135,Airbus A350-941,N502DN,Delta Air Lines,2017-08-10,Active,"The Delta Spirit, 3502"
137,136,Airbus A350-941,D-AIXE,Lufthansa,2017-08-30,Active,Essen
138,137,Airbus A350-941,B-LRT,Cathay Pacific,2017-09-29,Active,
139,138,Airbus A350-941,B-18909,China Airlines,2017-09-14,Active,
140,139,Airbus A350-941,PR-,LATAM Airlines Brasil,,Not Built,NTU
141,140,Airbus A350-941,9V-SMR,Singapore Airlines,2017-09-29,Active,
142,141,Airbus A350-1041,A7-ANE,Qatar Airways,2018-11-15,Active,"lsd, oneworld  cs"
143,142,Airbus A350-941,HS-THH,Thai Airways,2017-09-22,Active,"Than To / ธารโต , lsd"
144,143,Airbus A350-941,A7-ALZ,Qatar Airways,2018-04-18,Active,"lsd, oneworld  cs"
