id,msn,ln,aircraft_type,reg,operator,delivered,status,remark
1,,1638,Boeing 777-9,D-,Lufthansa,,On Order,
2,,1615,Boeing 777-9,A6-EZM,Emirates,,On Order,
3,,1611,Boeing 777-9,A6-EZT,Emirates,,On Order,
4,,1620,Boeing 777-9,A6-EZA,Emirates,,On Order,
5,,1624,Boeing 777-9,A6-EZB,Emirates,,On Order,
6,,1647,Boeing 777-9,A6-EZS,Emirates,,On Order,
7,,1642,Boeing 777-9,A6-EZQ,Emirates,,On Order,
8,,1651,Boeing 777-9,A6-,Emirates,,On Order,
9,,1656,Boeing 777-9,A7-BKA,Qatar Airways,,On Order,
10,,1677,Boeing 777-9,D-,Lufthansa,,On Order,
11,,1659,Boeing 777-9,A6-,Emirates,,On Order,
12,,1685,Boeing 777-9,D-,Lufthansa,,On Order,
13,,1670,Boeing 777-9,D-,Lufthansa,,On Order,
14,,1688,Boeing 777-9,A6-,Emirates,,On Order,
15,,1723,Boeing 777-9,9V-,Singapore Airlines,,On Order,
16,,1737,Boeing 777-9,9V-,Singapore Airlines,,On Order,
17,,1746,Boeing 777-9,9V-,Singapore Airlines,,On Order,
18,,1740,Boeing 777-9,A7-,Qatar Airways,,On Order,
19,,1716,Boeing 777-9,A6-,Emirates,,On Order,
20,,1785,Boeing 777-9,9V-,Singapore Airlines,,On Order,
21,,1807,Boeing 777-F,VP-,Silk Way West Airlines,,On Order,
22,,1809,Boeing 777-F,-,DHL Aviation,,On Order,opby Unknown
23,,1814,Boeing 777-F,TC-,Turkish Airlines,,On Order,
24,,1815,Boeing 777-F,B-,Suparna Airlines,,On Order,
25,26916,7,Boeing 777-222,N777UA,United Airlines,1995-05-15,Active,2477
26,26917,8,Boeing 777-222,N719ML,Wells Fargo Bank Northwest,2010-10-21,Scrapped,
27,26918,9,Boeing 777-222,EI-UNY,Transaero,2011-12-20,Scrapped,
28,26919,11,Boeing 777-222,N768UA,United Airlines,1995-06-26,Active,2368
29,26921,12,Boeing 777-222,N769UA,United Airlines,1995-06-28,Active,2469
30,26924,116,Boeing 777-222ER,N797UA,United Airlines,1998-02-20,Active,2897
31,26925,13,Boeing 777-222,EI-UNZ,Transaero,2008-09-29,Scrapped,lsd
32,26926,139,Boeing 777-222ER,N799UA,United Airlines,1998-05-08,Active,2799
33,26927,108,Boeing 777-222ER,N795UA,United Airlines,1997-12-09,Active,2795
34,26928,123,Boeing 777-222ER,N798UA,United Airlines,1998-02-28,Active,2798
35,26929,4,Boeing 777-222,N773UA,United Airlines,1996-01-31,Active,2473
36,26930,5,Boeing 777-222,N772UA,United Airlines,1995-09-29,Active,2372
37,26931,112,Boeing 777-222ER,N796UA,United Airlines,1998-01-28,Active,2796
38,26932,3,Boeing 777-222,N771UA,United Airlines,1995-11-27,Active,2471
39,26933,93,Boeing 777-222ER,N791UA,United Airlines,1997-08-28,Active,2791
40,26934,96,Boeing 777-222ER,N792UA,United Airlines,1997-09-25,Active,2792
41,26935,88,Boeing 777-222ER,N918AX,Omni Air International,2011-05-22,Scrapped,
42,26936,2,Boeing 777-222,N774UA,United Airlines,1996-03-29,Active,2474
43,26937,27,Boeing 777-222,N776UA,United Airlines,1996-04-11,Active,2476
44,26938,52,Boeing 777-222ER,N786UA,United Airlines,1997-04-04,Active,2786
45,26939,43,Boeing 777-222ER,N787UA,United Airlines,1997-06-05,Active,2887
46,26940,34,Boeing 777-222,N778UA,United Airlines,1996-07-18,Active,2478
47,26941,35,Boeing 777-222,N779UA,United Airlines,1996-07-26,Active,2379
48,26942,82,Boeing 777-222ER,N788UA,United Airlines,1997-07-15,Active,2888
49,26943,92,Boeing 777-222ER,N927AX,Omni Air International,2011-09-06,Scrapped,
50,26944,36,Boeing 777-222,N780UA,United Airlines,1996-08-06,Active,2480
51,26945,40,Boeing 777-222,N781UA,United Airlines,1996-09-12,Active,2481
52,26946,97,Boeing 777-222ER,N793UA,United Airlines,1997-10-07,Active,2793
53,26947,22,Boeing 777-222,N775UA,United Airlines,1996-01-22,Active,2475
54,26948,57,Boeing 777-222ER,N782UA,United Airlines,1997-03-07,Active,2882
55,26950,60,Boeing 777-222ER,N783UA,United Airlines,1997-03-11,Active,2883
56,26951,69,Boeing 777-222ER,N784UA,United Airlines,1997-04-29,Active,2884
57,26953,105,Boeing 777-222ER,N794UA,United Airlines,1997-11-18,Parked,"2894, Star Alliance  cs"
58,26954,73,Boeing 777-222ER,N785UA,United Airlines,1997-05-21,Active,2885
59,27027,16,Boeing 777-281,JA8197,All Nippon Airways,1995-10-04,Partially Scrapped,
60,27028,21,Boeing 777-281,JA8198,All Nippon Airways,1995-12-20,Scrapped,
61,27029,29,Boeing 777-281,JA8199,All Nippon Airways,1996-05-23,Scrapped,
62,27030,37,Boeing 777-281,JA8967,All Nippon Airways,1996-08-12,Scrapped,
63,27031,38,Boeing 777-281,JA8968,All Nippon Airways,1996-08-14,Scrapped,
64,27032,50,Boeing 777-281,JA8969,All Nippon Airways,1996-12-16,Scrapped,
65,27033,75,Boeing 777-281,JA702A,All Nippon Airways,1997-06-30,Stored,
66,27034,81,Boeing 777-281,JA703A,All Nippon Airways,1997-08-21,Scrapped,
67,27035,131,Boeing 777-281,JA704A,All Nippon Airways,1998-03-26,Scrapped,
68,27036,141,Boeing 777-281,JA706A,All Nippon Airways,1998-05-20,Scrapped,
69,27037,247,Boeing 777-281ER,JA707A,All Nippon Airways,1999-10-06,Scrapped,
70,27038,511,Boeing 777-381ER,JA732A,All Nippon Airways,2005-04-25,Partially Scrapped,
71,27039,440,Boeing 777-381,JA756A,All Nippon Airways,2003-05-20,Partially Scrapped,
72,27040,442,Boeing 777-381,JA757A,All Nippon Airways,2003-06-11,Partially Scrapped,
73,27041,667,Boeing 777-381ER,JA781A,All Nippon Airways,2007-09-25,Partially Scrapped,
74,27105,6,Boeing 777-236,G-ZZZA,British Airways,1996-05-20,Scrapped,
75,27106,10,Boeing 777-236,G-ZZZB,British Airways,1997-03-28,Scrapped,
76,27107,15,Boeing 777-236,G-ZZZC,British Airways,1995-11-11,Scrapped,
77,27108,17,Boeing 777-236,TR-KPR,République Gabonaise,2012-06-18,Parked,
78,27109,19,Boeing 777-236,N703BA,Boeing Aircraft Holding Company,2006-08-30,Scrapped,
79,27116,1,Boeing 777-267,B-HNL,Cathay Pacific,2000-12-06,Preserved,
80,27247,30,Boeing 777-21H,N930KW,Universal Asset Management,2014-11-20,Scrapped,
81,27248,33,Boeing 777-21H,N102AJ,Universal Asset Management,2015-01-09,Scrapped,
82,27249,42,Boeing 777-21H,A6-EMF,Emirates,1996-10-16,Scrapped,lsd
83,27250,47,Boeing 777-21HER,RA-73329,Red Wings,2022-03-14,Active,
84,27251,54,Boeing 777-21HER,RA-73330,Red Wings,2022-04-11,Parked,
85,27252,63,Boeing 777-21HER,VP-BSN,VIM Airlines,2017-06-01,Scrapped,lsd
