operator,country,iso_country,iso_numeric
TAAG - Linhas Aereas de Angola Airlines,Angola,AGO,24
Qantas,Australia,AUS,36
Virgin Australia,Australia,AUS,36
Austrian Airlines,Austria,AUT,40
Silk Way West Airlines,Azerbaijan,AZE,31
AZAL Azerbaijan Airlines,Azerbaijan,AZE,31
Biman Bangladesh Airlines,Bangladesh,BGD,50
LATAM Airlines Brasil,Brazil,BRA,76
Azul,Brazil,BRA,76
Air Canada,Canada,CAN,124
Air China,China,CHN,156
China Southern Airlines,China,CHN,156
China Eastern Airlines,China,CHN,156
China Cargo Airlines,China,CHN,156
Air China Cargo,China,CHN,156
China Southern Airlines Cargo,China,CHN,156
Sichuan Airlines,China,CHN,156
YunExpress,China,CHN,156
Suparna Airlines,China,CHN,156
China Postal Airlines,China,CHN,156
Central Airlines,China,CHN,156
Maersk Air Cargo,Denmark,DNK,208
EgyptAir,Egypt,EGY,818
Ceiba Intercontinental,Equatorial Guinea,GNQ,226
Equatorial Guinea Government,Equatorial Guinea,GNQ,226
Ethiopian Airlines,Ethiopia,ETH,231
Fiji Airways,Fiji,FJI,242
Finnair,Finland,FIN,246
Air France,France,FRA,250
Airbus Industrie,France,FRA,250
Air Caraïbes Atlantique,France,FRA,250
French bee,France,FRA,250
CMA CGM Air Cargo,France,FRA,250
Air Austral,France,FRA,250
République Gabonaise,Gabon,GAB,266
SkyLine Express,Georgia,GEO,268
MyWay Airlines,Georgia,GEO,268
Lufthansa,Germany,DEU,276
DHL Aviation,Germany,DEU,276
AeroLogic,Germany,DEU,276
Lufthansa Cargo,Germany,DEU,276
Lufthansa Group,Germany,DEU,276
Luftwaffe (German Air Force),Germany,DEU,276
K5-Aviation,Germany,DEU,276
DHL Holdings,Germany,DEU,276
Dr. Peters Group,Germany,DEU,276
Cathay Pacific,Hong Kong,HKG,344
Hong Kong Airlines,Hong Kong,HKG,344
Bluebird Nordic,Iceland,ISL,352
Air Atlanta Icelandic,Iceland,ISL,352
Air India,India,IND,356
Jet Airways,India,IND,356
IndiGo,India,IND,356
Government of India,India,IND,356
Garuda Indonesia,Indonesia,IDN,360
Indonesia Government,Indonesia,IDN,360
Iraqi Airways,Iraq,IRQ,368
AerCap,Ireland,IRL,372
Ansett Worldwide (AWAS),Ireland,IRL,372
Macquarie AirFinance,Ireland,IRL,372
El Al Israel Airlines,Israel,ISR,376
ITA Airways,Italy,ITA,380
Alitalia - Società Aerea Italiana,Italy,ITA,380
AlisCargo Airlines,Italy,ITA,380
All Nippon Airways,Japan,JPN,392
Japan Airlines,Japan,JPN,392
Japan Air Self-Defence Force (JASDF),Japan,JPN,392
ANA Cargo,Japan,JPN,392
Japan Airlines Domestic,Japan,JPN,392
Kuwait Airways,Kuwait,KWT,414
Fly OYA,Libya,LBY,434
AviaAM Leasing,Lithuania,LTU,440
Malaysia Airlines,Malaysia,MYS,458
Air Mauritius,Mauritius,MUS,480
Aeroméxico,Mexico,MEX,484
Terra Avia,"Moldova, Republic of",MDA,498
KLM Royal Dutch Airlines,"Netherlands, Kingdom of the",NLD,528
KLM Asia,"Netherlands, Kingdom of the",NLD,528
Corendon Dutch Airlines,"Netherlands, Kingdom of the",NLD,528
KLM Cargo,"Netherlands, Kingdom of the",NLD,528
Air New Zealand,New Zealand,NZL,554
Air Peace,Nigeria,NGA,566
Max Air,Nigeria,NGA,566
PIA Pakistan International Airlines,Pakistan,PAK,586
Philippine Airlines,Philippines,PHL,608
EuroAtlantic Airways,Portugal,PRT,620
Qatar Airways,Qatar,QAT,634
Qatar Airways Cargo,Qatar,QAT,634
Aeroflot - Russian Airlines,Russian Federation,RUS,643
Rossiya - Russian Airlines,Russian Federation,RUS,643
Transaero,Russian Federation,RUS,643
Nordwind Airlines,Russian Federation,RUS,643
Red Wings,Russian Federation,RUS,643
VIM Airlines,Russian Federation,RUS,643
Ikar,Russian Federation,RUS,643
Azur Air,Russian Federation,RUS,643
AirBridgeCargo,Russian Federation,RUS,643
Saudi Arabian Airlines,Saudi Arabia,SAU,682
flyadeal,Saudi Arabia,SAU,682
Mid East Jet,Saudi Arabia,SAU,682
Aviation Link Company,Saudi Arabia,SAU,682
Saudi Arabian Government,Saudi Arabia,SAU,682
Singapore Airlines,Singapore,SGP,702
Scoot,Singapore,SGP,702
